Type,Region Name,Size,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion1,500000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion2,25000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion3,150000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_DRAM,gDmmDramRegion4,4600,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion1,120000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion2,8500,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion3,40000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_IRAM,gDmmIramRegion4,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion1,50000,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion2,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion3,0,,,,,,,,,,,,,,,
ATTR_ZIDATA_IN_SYSRAM,gDmmSysramRegion4,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TotalComponentType_t,,,,,,,,,,,,,,,,,
A2DP,,,,,,,,,,,,,,,,,
HFP,,,,,,,,,,,,,,,,,
LE_AUDIO,,,,,,,,,,,,,,,,,
LE_CALL,,,,,,,,,,,,,,,,,
LINEIN,,,,,,,,,,,,,,,,,
USB,,,,,,,,,,,,,,,,,
ESA,,,,,,,,,,,,,,,,,
MULTI_MIC,,,,,,,,,,,,,,,,,
OPT,,,,,,,,,,,,,,,,,
WIRED_AUDIO,,,,,,,,,,,,,,,,,
WWE,,,,,,,,,,,,,,,,,
RECORD,,,,,,,,,,,,,,,,,
VP,,,,,,,,,,,,,,,,,
TDM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Region No,Component Name,Group No,Attr,Sub-component Name,Feature Type,Feature Option,Header File Path,IRAM Region Name,IRAM Size,IRAM Size Macro,DRAM Region Name,DRAM Size,DRAM Size Macro,SYSRAM Region Name,SYSRAM Size,SYSRAM Size Macro,Note
1,A2DP,0,Head,,,,,gDmmIramRegion1,0,,gDmmDramRegion1,128,,gDmmSysramRegion1,0,,
1,A2DP,1,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,1,,A2DP_SBC,CODEC_DECODER_SBC,AIR_BT_A2DP_SBC_ENABLE = y && MTK_BT_A2DP_SBC_USE_PIC = y,dsp_predefine.h,gDmmIramRegion1,4397,DSP_PREDEFINE_A2DP_SBC_IRAM,gDmmDramRegion1,9520,DSP_PREDEFINE_A2DP_SBC_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_A2DP_SBC_SYSRAM,5376(PIC)+4144(working buffer)
1,A2DP,1,,A2DP_SBC,CODEC_DECODER_SBC,AIR_BT_A2DP_SBC_ENABLE = y && MTK_BT_A2DP_SBC_USE_PIC = n,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,
1,A2DP,1,,A2DP_AAC,CODEC_DECODER_AAC,AIR_BT_A2DP_AAC_ENABLE = y && MTK_BT_A2DP_AAC_USE_PIC = y,dsp_predefine.h,gDmmIramRegion1,15788,DSP_PREDEFINE_A2DP_AAC_IRAM,gDmmDramRegion1,64624,DSP_PREDEFINE_A2DP_AAC_DRAM,gDmmSysramRegion1,0,DSP_PREDEFINE_A2DP_AAC_SYSRAM,23856(PIC)+40768(working buffer)
1,A2DP,1,,A2DP_AAC,CODEC_DECODER_AAC,AIR_BT_A2DP_AAC_ENABLE = y && MTK_BT_A2DP_AAC_USE_PIC = n,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,
1,A2DP,1,,A2DP_VENDOR,CODEC_DECODER_VENDOR,AIR_BT_A2DP_VENDOR_ENABLE = y && MTK_BT_A2DP_VENDOR_USE_PIC = y,dsp_predefine.h,gDmmIramRegion1,14685,DSP_PREDEFINE_A2DP_VENDOR_IRAM,gDmmDramRegion1,30768,DSP_PREDEFINE_A2DP_VENDOR_DRAM,gDmmSysramRegion1,0,,14168(PIC)+16600(working buffer)
1,A2DP,1,,A2DP_VENDOR,CODEC_DECODER_VENDOR,AIR_BT_A2DP_VENDOR_ENABLE = y && MTK_BT_A2DP_VENDOR_USE_PIC = n,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,
1,A2DP,1,,A2DP_CELT,CODEC_DECODER_CELT_HD,AIR_CELT_DEC_ENABLE = y && MTK_BT_CELT_USE_PIC = y,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,
1,A2DP,1,,A2DP_CELT,CODEC_DECODER_CELT_HD,AIR_CELT_DEC_ENABLE = y && MTK_BT_CELT_USE_PIC = n,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,
1,A2DP,1,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,2,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,2,,A2DP_PLC,FUNC_AUDIO_PLC,AIR_AUDIO_PLC_ENABLE = y,,gDmmIramRegion1,0,,gDmmDramRegion1,0,,gDmmSysramRegion1,0,,
1,A2DP,2,end,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
1,A2DP,3,start,,,,,gDmmIramRegion1,,,gDmmDramRegion1,,,gDmmSysramRegion1,,,
